Loc,SizeClass,year,fish_count,Esst,mpa,nTotal,rep,f,yearF
BassSt,10,1992,71,14.758583988998565,0,1522,BassSt_1992,0.04664914586070959,1992
BassSt,12.5,1992,174,14.758583988998565,0,1522,BassSt_1992,0.11432325886990802,1992
BassSt,15,1992,420,14.758583988998565,0,1522,BassSt_1992,0.2759526938239159,1992
BassSt,20,1992,437,14.758583988998565,0,1522,BassSt_1992,0.2871222076215506,1992
BassSt,25,1992,272,14.758583988998565,0,1522,BassSt_1992,0.17871222076215507,1992
BassSt,30,1992,148,14.758583988998565,0,1522,BassSt_1992,0.09724047306176084,1992
BassSt,12.5,2000,21,14.668494444195465,0,797,BassSt_2000,0.026348808030112924,2000
BassSt,15,2000,87,14.668494444195465,0,797,BassSt_2000,0.10915934755332497,2000
BassSt,20,2000,210,14.668494444195465,0,797,BassSt_2000,0.26348808030112925,2000
BassSt,25,2000,264,14.668494444195465,0,797,BassSt_2000,0.3312421580928482,2000
BassSt,30,2000,100,14.668494444195465,0,797,BassSt_2000,0.12547051442910917,2000
BassSt,35,2000,115,14.668494444195465,0,797,BassSt_2000,0.14429109159347553,2000
BassSt,12.5,2004,121,13.91153925909771,0,1411,BassSt_2004,0.08575478384124734,2004
BassSt,15,2004,327,13.91153925909771,0,1411,BassSt_2004,0.23175053153791636,2004
BassSt,20,2004,390,13.91153925909771,0,1411,BassSt_2004,0.2763997165131113,2004
BassSt,25,2004,353,13.91153925909771,0,1411,BassSt_2004,0.25017717930545713,2004
BassSt,30,2004,220,13.91153925909771,0,1411,BassSt_2004,0.1559177888022679,2004
BassSt,10,2005,122,14.80125520964556,0,1474,BassSt_2005,0.08276797829036635,2005
BassSt,12.5,2005,176,14.80125520964556,0,1474,BassSt_2005,0.11940298507462686,2005
BassSt,15,2005,307,14.80125520964556,0,1474,BassSt_2005,0.20827679782903663,2005
BassSt,20,2005,371,14.80125520964556,0,1474,BassSt_2005,0.25169606512890097,2005
BassSt,25,2005,294,14.80125520964556,0,1474,BassSt_2005,0.1994572591587517,2005
BassSt,30,2005,204,14.80125520964556,0,1474,BassSt_2005,0.1383989145183175,2005
BassSt,10,2006,151,13.774282141071813,0,1535,BassSt_2006,0.098371335504886,2006
BassSt,12.5,2006,274,13.774282141071813,0,1535,BassSt_2006,0.17850162866449512,2006
BassSt,15,2006,360,13.774282141071813,0,1535,BassSt_2006,0.23452768729641693,2006
BassSt,20,2006,367,13.774282141071813,0,1535,BassSt_2006,0.23908794788273616,2006
BassSt,25,2006,246,13.774282141071813,0,1535,BassSt_2006,0.16026058631921825,2006
BassSt,30,2006,137,13.774282141071813,0,1535,BassSt_2006,0.08925081433224756,2006
BassSt,10,2007,116,14.708823683163539,0,1341,BassSt_2007,0.08650260999254288,2007
BassSt,12.5,2007,260,14.708823683163539,0,1341,BassSt_2007,0.19388516032811334,2007
BassSt,15,2007,374,14.708823683163539,0,1341,BassSt_2007,0.27889634601043994,2007
BassSt,20,2007,298,14.708823683163539,0,1341,BassSt_2007,0.2222222222222222,2007
BassSt,25,2007,162,14.708823683163539,0,1341,BassSt_2007,0.12080536912751678,2007
BassSt,30,2007,131,14.708823683163539,0,1341,BassSt_2007,0.0976882923191648,2007
BassSt,10,2008,50,13.022867558778312,0,538,BassSt_2008,0.09293680297397769,2008
BassSt,12.5,2008,78,13.022867558778312,0,538,BassSt_2008,0.1449814126394052,2008
BassSt,15,2008,156,13.022867558778312,0,538,BassSt_2008,0.2899628252788104,2008
BassSt,20,2008,141,13.022867558778312,0,538,BassSt_2008,0.2620817843866171,2008
BassSt,25,2008,69,13.022867558778312,0,538,BassSt_2008,0.12825278810408922,2008
BassSt,30,2008,44,13.022867558778312,0,538,BassSt_2008,0.08178438661710037,2008
BassSt,10,2009,82,14.14053193576915,0,1726,BassSt_2009,0.047508690614136734,2009
