population,date,year,month,sst_mean
-43_146,1992-01-16,1992,1,14.277862548828125
-43_146,1992-02-15,1992,2,14.312305450439453
-43_146,1992-03-16,1992,3,14.87911605834961
-43_146,1992-04-16,1992,4,13.588268280029297
-43_146,1992-05-16,1992,5,12.942322731018066
-43_146,1992-06-16,1992,6,12.329099655151367
-43_146,1992-07-16,1992,7,11.52506160736084
-43_146,1992-08-16,1992,8,11.616853713989258
-43_146,1992-09-16,1992,9,10.909626007080078
-43_146,1992-10-16,1992,10,11.578073501586914
-43_146,1992-11-16,1992,11,12.407899856567383
-43_146,1992-12-16,1992,12,13.706811904907227
-43_146,1993-01-16,1993,1,14.655845642089844
-43_146,1993-02-15,1993,2,15.016864776611328
-43_146,1993-03-16,1993,3,15.09465503692627
-43_146,1993-04-16,1993,4,13.971893310546875
-43_146,1993-05-16,1993,5,12.965572357177734
-43_146,1993-06-16,1993,6,12.273099899291992
-43_146,1993-07-16,1993,7,11.550936698913574
-43_146,1993-08-16,1993,8,11.606979370117188
-43_146,1993-09-16,1993,9,11.039751052856445
-43_146,1993-10-16,1993,10,11.65157413482666
-43_146,1993-11-16,1993,11,12.028552055358887
-43_146,1993-12-16,1993,12,13.367766380310059
-43_146,1994-01-16,1994,1,13.614187240600586
-43_146,1994-02-15,1994,2,15.356115341186523
-43_146,1994-03-16,1994,3,14.679511070251465
-43_146,1994-04-16,1994,4,13.918268203735352
-43_146,1994-05-16,1994,5,12.925573348999023
-43_146,1994-06-16,1994,6,12.191474914550781
-43_146,1994-07-16,1994,7,11.456311225891113
-43_146,1994-08-16,1994,8,11.370353698730469
-43_146,1994-09-16,1994,9,10.689376831054688
-43_146,1994-10-16,1994,10,11.315948486328125
-43_146,1994-11-16,1994,11,11.825302124023438
-43_146,1994-12-16,1994,12,13.492094039916992
-43_146,1995-01-16,1995,1,14.589899063110352
-43_146,1995-02-15,1995,2,15.194059371948242
-43_146,1995-03-16,1995,3,14.751197814941406
-43_146,1995-04-16,1995,4,13.119016647338867
-43_146,1995-05-16,1995,5,12.233823776245117
-43_146,1995-06-16,1995,6,11.910599708557129
-43_146,1995-07-16,1995,7,11.395561218261719
-43_146,1995-08-16,1995,8,11.019853591918945
-43_146,1995-09-16,1995,9,10.462251663208008
-43_146,1995-10-16,1995,10,11.115448951721191
-43_146,1995-11-16,1995,11,11.936552047729492
-43_146,1995-12-16,1995,12,12.5180082321167
-43_146,1996-01-16,1996,1,14.140697479248047
-43_146,1996-02-15,1996,2,14.604364395141602
-43_146,1996-03-16,1996,3,14.402436256408691
-43_146,1996-04-16,1996,4,13.3871431350708
-43_146,1996-05-16,1996,5,12.589948654174805
-43_146,1996-06-16,1996,6,12.068849563598633
-43_146,1996-07-16,1996,7,11.706936836242676
-43_146,1996-08-16,1996,8,11.594728469848633
-43_146,1996-09-16,1996,9,10.782001495361328
-43_146,1996-10-16,1996,10,11.013949394226074
-43_146,1996-11-16,1996,11,11.424676895141602
-43_146,1996-12-16,1996,12,12.24500846862793
-43_146,1997-01-16,1997,1,13.802995681762695
-43_146,1997-02-15,1997,2,15.022232055664063
-43_146,1997-03-16,1997,3,14.935744285583496
-43_146,1997-04-16,1997,4,13.668624877929688
-43_146,1997-05-16,1997,5,13.113490104675293
-43_146,1997-06-16,1997,6,12.484600067138672
-43_146,1997-07-16,1997,7,11.852436065673828
-43_146,1997-08-16,1997,8,11.649229049682617
-43_146,1997-09-16,1997,9,11.234626770019531
-43_146,1997-10-16,1997,10,12.196949005126953
-43_146,1997-11-16,1997,11,12.574176788330078
-43_146,1997-12-16,1997,12,13.713882446289063
-43_146,1998-01-16,1998,1,14.813384056091309
-43_146,1998-02-15,1998,2,15.215615272521973
-43_146,1998-03-16,1998,3,14.765116691589355
-43_146,1998-04-16,1998,4,13.79876708984375
-43_146,1998-05-16,1998,5,13.257823944091797
-43_146,1998-06-16,1998,6,12.812475204467773
-43_146,1998-07-16,1998,7,12.15356159210205
-43_146,1998-08-16,1998,8,12.075979232788086
-43_146,1998-09-16,1998,9,11.341001510620117
-43_146,1998-10-16,1998,10,11.96307373046875
-43_146,1998-11-16,1998,11,12.290302276611328
-43_146,1998-12-16,1998,12,13.85588264465332
-43_146,1999-01-16,1999,1,14.940494537353516
-43_146,1999-02-15,1999,2,15.610740661621094
-43_146,1999-03-16,1999,3,15.653491020202637
-43_146,1999-04-16,1999,4,14.20251750946045
-43_146,1999-05-16,1999,5,13.505447387695313
-43_146,1999-06-16,1999,6,12.990850448608398
-43_146,1999-07-16,1999,7,12.233061790466309
-43_146,1999-08-16,1999,8,11.86385440826416
-43_146,1999-09-16,1999,9,11.387500762939453
-43_146,1999-10-16,1999,10,12.115324020385742
-43_146,1999-11-16,1999,11,12.519678115844727
-43_146,1999-12-16,1999,12,13.548507690429688
-43_146,2000-01-16,2000,1,14.558740615844727
-43_146,2000-02-15,2000,2,15.639776229858398
-43_146,2000-03-16,2000,3,15.193268775939941
-43_146,2000-04-16,2000,4,14.399330139160156
-43_146,2000-05-16,2000,5,13.532757759094238
-43_146,2000-06-16,2000,6,12.817655563354492
-43_146,2000-07-16,2000,7,12.05535888671875
-43_146,2000-08-16,2000,8,12.013011932373047
-43_146,2000-09-16,2000,9,11.439477920532227
-43_146,2000-10-16,2000,10,12.021044731140137
-43_146,2000-11-16,2000,11,13.169493675231934
-43_146,2000-12-16,2000,12,14.165231704711914
