species,latitude,longitude,year,month,day,size_class,total,location,sst_year_met,sst_month_met,sst_mean_annual,sst_month_noaa,year_of_protection,rls_mpa,MPA
Kyphosus bigibbus,-31.52,159.04,2010,2,13,10,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,25,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,30,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,20,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,35,5,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,40,20,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,50,25,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,40,50,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,50,75,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,30,30,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,40,30,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,10,40,65,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.6,159.08,2010,2,12,20,5,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Kyphosus bigibbus,-31.5,159.07,2010,2,11,50,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
