species,latitude,longitude,year,month,day,size_class,total,location,sst_year_met,sst_month_met,sst_mean_annual,sst_month_noaa,year_of_protection,rls_mpa,MPA
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,7.5,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,10,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,1,2.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,1,5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,1,7.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,15,6,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,10,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,7.5,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,10,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,7.5,10,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,10,8,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,5,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,7.5,13,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,10,25,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,12.5,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,5,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,7.5,11,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,10,19,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,12.5,18,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,10,31,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2009,2,4,12.5,10,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,7.5,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,10,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,7.5,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,10,16,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,12.5,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,10,22,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,12.5,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,7.5,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,10,13,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,12.5,13,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.56,159.07,2010,2,8,15,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Neoglyphidodon polyacanthus,-31.54,159.05,2009,1,31,10,220,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2009,1,31,12.5,1,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,1,5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,1,7.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2009,1,31,10,20,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2009,1,31,5,2,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2009,1,31,7.5,3,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2009,1,31,10,1,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2010,2,9,7.5,13,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2010,2,9,10,13,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2010,2,9,12.5,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2010,2,9,7.5,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2010,2,9,10,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.54,159.05,2010,2,9,12.5,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,1,2.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,1,12.5,4,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,1,15,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,1,5,50,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,1,7.5,50,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
