species,latitude,longitude,year,month,day,size_class,total,location,sst_year_met,sst_month_met,sst_mean_annual,sst_month_noaa,year_of_protection,rls_mpa,MPA
Ostorhinchus flavus,-31.52,159.04,2010,2,13,7.5,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Ostorhinchus flavus,-31.52,159.04,2010,2,13,10,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Ostorhinchus flavus,-31.56,159.07,2009,2,4,10,7,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Ostorhinchus flavus,-31.56,159.07,2009,2,4,12.5,4,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Ostorhinchus flavus,-31.54,159.05,2009,1,31,12.5,2,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.54,159.05,2009,1,31,10,12,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.54,159.05,2009,1,31,12.5,18,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.54,159.05,2010,2,9,5,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.54,159.05,2010,2,9,7.5,6,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.54,159.05,2010,2,9,7.5,11,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.54,159.05,2010,2,9,10,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.52,159.04,2009,2,7,12.5,5,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.52,159.04,2009,2,7,10,5,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.52,159.04,2010,2,10,12.5,10,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.52,159.04,2010,2,10,15,10,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.52,159.04,2010,2,10,20,20,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.5,159.07,2009,2,2,10,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.57,159.1,2010,2,12,7.5,6,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.56,159.1,2010,2,12,5,18,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Ostorhinchus flavus,-31.56,159.1,2010,2,12,7.5,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Ostorhinchus flavus,-31.55,159.07,2009,2,6,10,10,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Ostorhinchus flavus,-31.55,159.07,2009,2,6,12.5,10,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Ostorhinchus flavus,-31.55,159.06,2010,2,9,10,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.55,159.06,2010,2,9,12.5,22,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Ostorhinchus flavus,-31.55,159.06,2010,2,9,15,23,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
