species,latitude,longitude,year,month,day,size_class,total,location,sst_year_met,sst_month_met,sst_mean_annual,sst_month_noaa,year_of_protection,rls_mpa,MPA
Parma polylepis,-31.52,159.04,2010,2,13,15,5,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,20,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,10,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,12.5,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,15,6,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,20,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.5,159.07,2009,2,1,20,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Parma polylepis,-31.52,159.04,2010,2,13,25,16,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,20,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.56,159.07,2009,2,4,10,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,20,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,25,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.56,159.07,2009,2,4,15,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Parma polylepis,-31.56,159.07,2009,2,4,20,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Parma polylepis,-31.56,159.07,2009,2,4,15,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,20,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,25,5,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.52,159.04,2010,2,13,30,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.56,159.07,2010,2,8,20,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.56,159.07,2010,2,8,25,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.56,159.07,2010,2,8,30,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.56,159.07,2010,2,8,20,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Parma polylepis,-31.5,159.07,2009,2,1,15,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Parma polylepis,-31.5,159.07,2009,2,1,20,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Parma polylepis,-31.56,159.07,2010,2,8,15,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
