species,latitude,longitude,year,month,day,size_class,total,location,sst_year_met,sst_month_met,sst_mean_annual,sst_month_noaa,year_of_protection,rls_mpa,MPA
Prionurus maculatus,-31.5,159.07,2010,2,10,25,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,30,10,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.56,159.07,2009,2,4,30,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.56,159.07,2009,2,4,30,100,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2009,2,1,25,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.56,159.07,2010,2,8,30,5,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Prionurus maculatus,-31.56,159.07,2010,2,8,35,5,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,NA,NA,0
Prionurus maculatus,-31.54,159.05,2009,1,31,40,1,-32_159,21.176898956298828,23.308124542236328,21.653498089423376,23.340644621079967,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.54,159.05,2010,2,9,25,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.54,159.05,2010,2,9,30,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2009,2,1,12.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2009,2,1,25,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.52,159.04,2009,2,1,35,200,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2009,2,7,30,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2009,2,7,30,4,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2009,2,7,12.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2009,2,7,35,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2009,2,7,40,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2010,2,10,25,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,30,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,35,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,40,5,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2009,2,7,25,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2009,2,7,30,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.5,159.07,2010,2,10,25,20,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,30,60,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,25,20,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,40,10,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,30,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.5,159.07,2010,2,10,35,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.58,159.07,2009,2,6,50,5,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Prionurus maculatus,-31.52,159.04,2009,2,7,10,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.52,159.04,2009,2,7,7.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Prionurus maculatus,-31.52,159.04,2009,2,7,15,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
