species,max_length_fb,max_length_foa,fished_com,fished_rec
Acanthaluteres_vittiger,35,35,n,y
Achoerodus_viridis,83,120,n,y
Anampses_elegans,29,29,n,n
Aplodactylus_lophodon,45,45,n,n
Atypichthys_strigatus,25,25,n,n
Caesioperca_rasor,25,26,n,y
Chaetodon_tricinctus,15,15,n,n
Chromis_hypsilepis,16,15,n,n
Dinolestes_lewini,84,90,n,y
Enoplosus_armatus,50,30,n,n
Hypoplectrodes_maccullochi,45,45,n,n
Kyphosus_bigibbus,75,75,n,y
Kyphosus_sectatrix,76,76,n,y
Morwong_fuscus,65,65,n,y
Neoglyphidodon_polyacanthus,12,12,n,n
Neoodax_balteatus,14,16,n,n
Notolabrus_fucicola,38,45,y,y
Notolabrus_gymnogenis,24,50,n,y
Notolabrus_tetricus,50,50,y,y
Olisthops_cyanomelas,35,51,n,n
Ophthalmolepis_lineolatus,40,47,n,y
Ostorhinchus_flavus,10,10,n,n
Ostorhinchus_limenus,14,14,n,n
Ostorhinchus_norfolcensis,15,15,n,n
Parma_microlepis,14,20,n,n
Parma_polylepis,21,22,n,n
Parma_unifasciata,18,18,n,n
Parupeneus_spilurus,50,55,n,y
Pempheris_affinis,15,15,n,n
Pempheris_compressa,20,20,n,n
Pempheris_multiradiata,28,28,n,n
Pictilabrus_laticlavius,23,30,n,n
Prionurus_maculatus,45,NA,n,y
Prionurus_microlepidotus,70,NA,n,y
Pseudolabrus_luculentus,17,25,n,n
Schuettea_scalaripinnis,20,20,n,n
Scorpis_aequipinnis,40,48,n,y
Scorpis_lineolata,30,30,n,y
Stegastes_fasciolatus,17,17,n,n
Stegastes_gascoynei,15,15,n,n
Thalassoma_lunare,45,32,n,n
Trachinops_caudimaculatus,15,15,n,n
Trachinops_taeniatus,NA,10,n,n
Upeneichthys_lineatus,40,40,n,y
